,名称,图画信息,图画标签,图片信息
0,水亭清兴图,"创作者： 周臣 风格流派： 院体画 所属时期： 明代 题材： 山水画 材质： 水墨,纸本 尺寸： 181.2X110.5 收藏地点： 台北故宫博物院",明代院体画 河边 柳树 船 小舟 亭子 吹笛 书童 古琴 隐士,周臣善画山水人物。山水师陈暹，间传宋人画法，得力于刘松年、李唐、马远，夏珪最多。用笔纯熟缜密，风骨峭劲雅健，尝传授画法於唐寅，仇英。该幅画河边柳岸，一亭一舟，中各一人。或凭榻而坐，或横笛濯足。一书僮挟琴而至，树梢柔枝轻摇，水面波纹如动，令人有凉生心底之感。江面水波荡漾，茅亭中有位士人敞衣闲坐，岸边坡石下，有人坐於船头吹笛，双脚则浸放在水中，极清凉闲适，写出夏日在水滨徜徉、悠游的乐趣。用笔缜密稳健，画风近似南宋马远、夏圭。
1,四万山水图01-万顷晴波,"创作者： 文伯仁 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 水墨,纸本 尺寸： 188.1×73.5cm 收藏地点： 东京国立博物馆",中国山水画 山水 芦苇 小船 人物 大雁,纸本，水墨，188.1×73.5cm，东京国立博物馆藏。《四万山水图》共四幅，描绘一年四季之景。《万顷晴波》为秋日之景，远处山峰耸立，湖面广阔，略起波纹，空中数只大雁成人字形飞去；近处岸边芦苇丛生，一文人坐船喝茶吹笛，悠然自得。整幅图设色典雅，意境清幽。
2,四万山水图03-万壑松风,"创作者： 文伯仁 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 水墨,纸本 尺寸： 188.1×73.5cm 收藏地点： 东京国立博物馆",中国山水画 山石 树木 溪流 人物,纸本，水墨，188.1×73.5cm，东京国立博物馆收藏。图绘夏日之景，山峦连绵，山谷中松木成林，松杆粗壮，松针茂密，夏日风过谷中，松风阵阵，悦耳动听；山谷中溪水流淌，平坦处几位文人雅士休憩纳凉，弹琴观景，轻松欢愉。
3,兰亭序全卷,"创作者： 祝允明 原标题： 书法图库_7.明_祝枝山_明 祝允明 兰亭序_明 祝允明 兰亭序(全卷)纸本26.7x416 所属时期： 明代 题材： 山水画,书法篆刻 材质： 纸本 收藏地点： 故宫博物院",中国山水画 中国书法 山水 树木 人物 亭台 行楷,
4,京江送别图,创作者： 沈周 原标题： 历代绘画图库_明_明_沈周_明 沈周 京江送别图 绢本 28x159 所属时期： 明代 题材： 书法篆刻 材质： 绢画 尺寸： 28 x 159 cm,沈周书法 京江送别图 汉字,
5,金陵四季图手卷（2）,创作者： 魏克 原标题： 金陵四季图手卷（2） 所属时期： 明代 题材： 山水画,魏克作品 明代作品 山峦 天空 树,
6,金陵四季图手卷（1）,创作者： 魏克 原标题： 金陵四季图手卷（1） 所属时期： 明代 题材： 山水画,魏克作品 明代作品 山峦 树 天空,
7,花卉十开 01,创作者： 项圣漠 原标题： 历代绘画图库_明_明_明 项圣漠 花卉10开_120-项圣莫花卉十开-01 所属时期： 明代 题材： 花鸟画,项圣漠作品 明代作品 梅花 文字 印章,
8,花卉十开 05,创作者： 项圣漠 原标题： 历代绘画图库_明_明_明 项圣漠 花卉10开_120-项圣莫花卉十开-05 所属时期： 明代 题材： 花鸟画,项圣漠作品 明代作品 石榴 文字 印章,
9,花卉十开 06,创作者： 项圣漠 原标题： 历代绘画图库_明_明_明 项圣漠 花卉10开_120-项圣莫花卉十开-06 所属时期： 明代 题材： 花鸟画,项圣漠作品 明代作品 莲藕 文字 印章,
